localizador,DS_CARGO,0
"BOM SUCESSO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BOM SUCESSO,PARANÁ",SENADOR,ALVARO DIAS
"BORRAZÓPOLIS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BORRAZÓPOLIS,PARANÁ",SENADOR,SERGIO MORO
"BRAGANEY,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BRAGANEY,PARANÁ",SENADOR,PAULO MARTINS
"BRASILÂNDIA DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"BRASILÂNDIA DO SUL,PARANÁ",SENADOR,PAULO MARTINS
"CAFEARA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAFEARA,PARANÁ",SENADOR,PAULO MARTINS
"CAFELÂNDIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAFELÂNDIA,PARANÁ",SENADOR,SERGIO MORO
"CAFEZAL DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAFEZAL DO SUL,PARANÁ",SENADOR,PAULO MARTINS
"CALIFÓRNIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CALIFÓRNIA,PARANÁ",SENADOR,SERGIO MORO
"CAMBARÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAMBARÁ,PARANÁ",SENADOR,PAULO MARTINS
"CAMBIRA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAMBIRA,PARANÁ",SENADOR,PAULO MARTINS
"CAMBÉ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAMBÉ,PARANÁ",SENADOR,SERGIO MORO
"CAMPINA DA LAGOA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAMPINA DA LAGOA,PARANÁ",SENADOR,PAULO MARTINS
"CAMPINA DO SIMÃO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAMPINA DO SIMÃO,PARANÁ",SENADOR,PAULO MARTINS
"CAMPINA GRANDE DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAMPINA GRANDE DO SUL,PARANÁ",SENADOR,SERGIO MORO
"CAMPO BONITO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAMPO BONITO,PARANÁ",SENADOR,ALVARO DIAS
"CAMPO DO TENENTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAMPO DO TENENTE,PARANÁ",SENADOR,SERGIO MORO
"CAMPO LARGO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAMPO LARGO,PARANÁ",SENADOR,SERGIO MORO
"CAMPO MAGRO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAMPO MAGRO,PARANÁ",SENADOR,SERGIO MORO
"CAMPO MOURÃO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAMPO MOURÃO,PARANÁ",SENADOR,SERGIO MORO
"CANDÓI,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CANDÓI,PARANÁ",SENADOR,ALVARO DIAS
"CANTAGALO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CANTAGALO,PARANÁ",SENADOR,ALVARO DIAS
"CAPANEMA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAPANEMA,PARANÁ",SENADOR,ALVARO DIAS
"CAPITÃO LEÔNIDAS MARQUES,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CAPITÃO LEÔNIDAS MARQUES,PARANÁ",SENADOR,PAULO MARTINS
"CARAMBEÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CARAMBEÍ,PARANÁ",SENADOR,SERGIO MORO
"CARLÓPOLIS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CARLÓPOLIS,PARANÁ",SENADOR,PAULO MARTINS
"CASCAVEL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CASCAVEL,PARANÁ",SENADOR,SERGIO MORO
"CASTRO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CASTRO,PARANÁ",SENADOR,ALINE SLEUTJES
"CATANDUVAS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"CATANDUVAS,PARANÁ",SENADOR,PAULO MARTINS
"CENTENÁRIO DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
