localizador,DS_CARGO,0
"LIDIANÓPOLIS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"LIDIANÓPOLIS,PARANÁ",SENADOR,ALVARO DIAS
"LINDOESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"LINDOESTE,PARANÁ",SENADOR,ALVARO DIAS
"LOANDA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"LOANDA,PARANÁ",SENADOR,ALVARO DIAS
"LOBATO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"LOBATO,PARANÁ",SENADOR,ALVARO DIAS
"LONDRINA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"LONDRINA,PARANÁ",SENADOR,SERGIO MORO
"LUIZIANA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"LUIZIANA,PARANÁ",SENADOR,ALVARO DIAS
"LUNARDELLI,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"LUNARDELLI,PARANÁ",SENADOR,ALVARO DIAS
"LUPIONÓPOLIS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"LUPIONÓPOLIS,PARANÁ",SENADOR,ALVARO DIAS
"MALLET,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MALLET,PARANÁ",SENADOR,SERGIO MORO
"MAMBORÊ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MAMBORÊ,PARANÁ",SENADOR,PAULO MARTINS
"MANDAGUARI,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MANDAGUARI,PARANÁ",SENADOR,SERGIO MORO
"MANDAGUAÇU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MANDAGUAÇU,PARANÁ",SENADOR,SERGIO MORO
"MANDIRITUBA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MANDIRITUBA,PARANÁ",SENADOR,SERGIO MORO
"MANFRINÓPOLIS,PARANÁ",GOVERNADOR,REQUIÃO
"MANFRINÓPOLIS,PARANÁ",SENADOR,ALVARO DIAS
"MANGUEIRINHA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MANGUEIRINHA,PARANÁ",SENADOR,PAULO MARTINS
"MANOEL RIBAS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MANOEL RIBAS,PARANÁ",SENADOR,PAULO MARTINS
"MARECHAL CÂNDIDO RONDON,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MARECHAL CÂNDIDO RONDON,PARANÁ",SENADOR,PAULO MARTINS
"MARIA HELENA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MARIA HELENA,PARANÁ",SENADOR,PAULO MARTINS
"MARIALVA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MARIALVA,PARANÁ",SENADOR,SERGIO MORO
"MARILENA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MARILENA,PARANÁ",SENADOR,ALINE SLEUTJES
"MARILUZ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MARILUZ,PARANÁ",SENADOR,ALVARO DIAS
"MARILÂNDIA DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MARILÂNDIA DO SUL,PARANÁ",SENADOR,SERGIO MORO
"MARINGÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MARINGÁ,PARANÁ",SENADOR,SERGIO MORO
"MARIPÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MARIPÁ,PARANÁ",SENADOR,PAULO MARTINS
"MARIÓPOLIS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MARIÓPOLIS,PARANÁ",SENADOR,SERGIO MORO
"MARMELEIRO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MARMELEIRO,PARANÁ",SENADOR,ALVARO DIAS
"MARQUINHO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MARQUINHO,PARANÁ",SENADOR,ALVARO DIAS
"MARUMBI,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MARUMBI,PARANÁ",SENADOR,ALVARO DIAS
"MATELÂNDIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MATELÂNDIA,PARANÁ",SENADOR,PAULO MARTINS
"MATINHOS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MATINHOS,PARANÁ",SENADOR,SERGIO MORO
"MATO RICO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MATO RICO,PARANÁ",SENADOR,ALVARO DIAS
"MAUÁ DA SERRA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MAUÁ DA SERRA,PARANÁ",SENADOR,ALVARO DIAS
"MEDIANEIRA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MEDIANEIRA,PARANÁ",SENADOR,PAULO MARTINS
"MERCEDES,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MERCEDES,PARANÁ",SENADOR,PAULO MARTINS
"MIRADOR,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MIRADOR,PARANÁ",SENADOR,PAULO MARTINS
"MIRASELVA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MIRASELVA,PARANÁ",SENADOR,SERGIO MORO
"MISSAL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MISSAL,PARANÁ",SENADOR,PAULO MARTINS
"MOREIRA SALES,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MOREIRA SALES,PARANÁ",SENADOR,ALVARO DIAS
"MORRETES,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MORRETES,PARANÁ",SENADOR,PAULO MARTINS
"MUNHOZ DE MELO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"MUNHOZ DE MELO,PARANÁ",SENADOR,ALVARO DIAS
"NOSSA SENHORA DAS GRAÇAS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"NOSSA SENHORA DAS GRAÇAS,PARANÁ",SENADOR,ALINE SLEUTJES
"NOVA ALIANÇA DO IVAÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"NOVA ALIANÇA DO IVAÍ,PARANÁ",SENADOR,SERGIO MORO
"NOVA AMÉRICA DA COLINA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"NOVA AMÉRICA DA COLINA,PARANÁ",SENADOR,ALVARO DIAS
"NOVA AURORA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"NOVA AURORA,PARANÁ",SENADOR,PAULO MARTINS
"NOVA CANTU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"NOVA CANTU,PARANÁ",SENADOR,ALVARO DIAS
"NOVA ESPERANÇA DO SUDOESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"NOVA ESPERANÇA DO SUDOESTE,PARANÁ",SENADOR,ALVARO DIAS
"NOVA ESPERANÇA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"NOVA ESPERANÇA,PARANÁ",SENADOR,SERGIO MORO
"NOVA FÁTIMA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"NOVA FÁTIMA,PARANÁ",SENADOR,SERGIO MORO
"NOVA LARANJEIRAS,PARANÁ",GOVERNADOR,REQUIÃO
"NOVA LARANJEIRAS,PARANÁ",SENADOR,ROSANE FERREIRA
"NOVA LONDRINA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"NOVA LONDRINA,PARANÁ",SENADOR,PAULO MARTINS
"NOVA OLÍMPIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"NOVA OLÍMPIA,PARANÁ",SENADOR,ALVARO DIAS
"NOVA PRATA DO IGUAÇU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"NOVA PRATA DO IGUAÇU,PARANÁ",SENADOR,ALVARO DIAS
"NOVA SANTA BÁRBARA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"NOVA SANTA BÁRBARA,PARANÁ",SENADOR,ALVARO DIAS
"NOVA SANTA ROSA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"NOVA SANTA ROSA,PARANÁ",SENADOR,PAULO MARTINS
"NOVA TEBAS,PARANÁ",GOVERNADOR,REQUIÃO
"NOVA TEBAS,PARANÁ",SENADOR,ALVARO DIAS
"NOVO ITACOLOMI,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"NOVO ITACOLOMI,PARANÁ",SENADOR,ALVARO DIAS
"ORTIGUEIRA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ORTIGUEIRA,PARANÁ",SENADOR,ALVARO DIAS
"OURIZONA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"OURIZONA,PARANÁ",SENADOR,ALVARO DIAS
"OURO VERDE DO OESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"OURO VERDE DO OESTE,PARANÁ",SENADOR,PAULO MARTINS
"PAIÇANDU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PAIÇANDU,PARANÁ",SENADOR,PAULO MARTINS
"PALMAS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PALMAS,PARANÁ",SENADOR,ALVARO DIAS
"PALMEIRA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PALMEIRA,PARANÁ",SENADOR,SERGIO MORO
"PALMITAL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PALMITAL,PARANÁ",SENADOR,ALVARO DIAS
"PALOTINA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PALOTINA,PARANÁ",SENADOR,PAULO MARTINS
"PARANACITY,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PARANACITY,PARANÁ",SENADOR,ALVARO DIAS
"PARANAGUÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PARANAGUÁ,PARANÁ",SENADOR,SERGIO MORO
"PARANAPOEMA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PARANAPOEMA,PARANÁ",SENADOR,ALINE SLEUTJES
"PARANAVAÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PARANAVAÍ,PARANÁ",SENADOR,SERGIO MORO
"PARAÍSO DO NORTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PARAÍSO DO NORTE,PARANÁ",SENADOR,PAULO MARTINS
"PATO BRAGADO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PATO BRAGADO,PARANÁ",SENADOR,PAULO MARTINS
"PATO BRANCO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PATO BRANCO,PARANÁ",SENADOR,SERGIO MORO
"PAULA FREITAS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PAULA FREITAS,PARANÁ",SENADOR,SERGIO MORO
"PAULO FRONTIN,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PAULO FRONTIN,PARANÁ",SENADOR,SERGIO MORO
"PEABIRU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PEABIRU,PARANÁ",SENADOR,SERGIO MORO
"PEROBAL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PEROBAL,PARANÁ",SENADOR,PAULO MARTINS
"PINHAIS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PINHAIS,PARANÁ",SENADOR,SERGIO MORO
"PINHAL DE SÃO BENTO,PARANÁ",GOVERNADOR,REQUIÃO
"PINHAL DE SÃO BENTO,PARANÁ",SENADOR,ALVARO DIAS
"PINHALÃO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PINHALÃO,PARANÁ",SENADOR,PAULO MARTINS
"PINHÃO,PARANÁ",GOVERNADOR,REQUIÃO
"PINHÃO,PARANÁ",SENADOR,ROSANE FERREIRA
"PIRAQUARA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PIRAQUARA,PARANÁ",SENADOR,SERGIO MORO
"PIRAÍ DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PIRAÍ DO SUL,PARANÁ",SENADOR,ALINE SLEUTJES
"PITANGA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PITANGA,PARANÁ",SENADOR,ALVARO DIAS
"PITANGUEIRAS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PITANGUEIRAS,PARANÁ",SENADOR,SERGIO MORO
"PIÊN,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PIÊN,PARANÁ",SENADOR,SERGIO MORO
"PLANALTINA DO PARANÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PLANALTINA DO PARANÁ,PARANÁ",SENADOR,ALVARO DIAS
"PLANALTO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PLANALTO,PARANÁ",SENADOR,ALVARO DIAS
"PONTA GROSSA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PONTA GROSSA,PARANÁ",SENADOR,SERGIO MORO
"PONTAL DO PARANÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PONTAL DO PARANÁ,PARANÁ",SENADOR,SERGIO MORO
"PORECATU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PORECATU,PARANÁ",SENADOR,SERGIO MORO
"PORTO AMAZONAS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PORTO AMAZONAS,PARANÁ",SENADOR,SERGIO MORO
"PORTO BARREIRO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PORTO BARREIRO,PARANÁ",SENADOR,PAULO MARTINS
"PORTO RICO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PORTO RICO,PARANÁ",SENADOR,PAULO MARTINS
"PORTO VITÓRIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PORTO VITÓRIA,PARANÁ",SENADOR,SERGIO MORO
"PRADO FERREIRA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PRADO FERREIRA,PARANÁ",SENADOR,ALVARO DIAS
"PRANCHITA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PRANCHITA,PARANÁ",SENADOR,SERGIO MORO
"PRESIDENTE CASTELO BRANCO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PRESIDENTE CASTELO BRANCO,PARANÁ",SENADOR,ALVARO DIAS
"PRIMEIRO DE MAIO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PRIMEIRO DE MAIO,PARANÁ",SENADOR,PAULO MARTINS
"PRUDENTÓPOLIS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PRUDENTÓPOLIS,PARANÁ",SENADOR,PAULO MARTINS
"PÉROLA D OESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PÉROLA D OESTE,PARANÁ",SENADOR,PAULO MARTINS
"PÉROLA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"PÉROLA,PARANÁ",SENADOR,PAULO MARTINS
"QUARTO CENTENÁRIO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"QUARTO CENTENÁRIO,PARANÁ",SENADOR,PAULO MARTINS
"QUATIGUÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"QUATIGUÁ,PARANÁ",SENADOR,ALVARO DIAS
"QUATRO BARRAS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"QUATRO BARRAS,PARANÁ",SENADOR,SERGIO MORO
"QUATRO PONTES,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"QUATRO PONTES,PARANÁ",SENADOR,PAULO MARTINS
"QUEDAS DO IGUAÇU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"QUEDAS DO IGUAÇU,PARANÁ",SENADOR,PAULO MARTINS
"QUERÊNCIA DO NORTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"QUERÊNCIA DO NORTE,PARANÁ",SENADOR,ALVARO DIAS
"QUINTA DO SOL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"QUINTA DO SOL,PARANÁ",SENADOR,ALVARO DIAS
"QUITANDINHA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"QUITANDINHA,PARANÁ",SENADOR,SERGIO MORO
"RAMILÂNDIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"RAMILÂNDIA,PARANÁ",SENADOR,ALVARO DIAS
"RANCHO ALEGRE D OESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"RANCHO ALEGRE D OESTE,PARANÁ",SENADOR,ALVARO DIAS
"RANCHO ALEGRE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"RANCHO ALEGRE,PARANÁ",SENADOR,PAULO MARTINS
"REALEZA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"REALEZA,PARANÁ",SENADOR,PAULO MARTINS
"REBOUÇAS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"REBOUÇAS,PARANÁ",SENADOR,ALVARO DIAS
"RENASCENÇA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"RENASCENÇA,PARANÁ",SENADOR,PAULO MARTINS
"RESERVA DO IGUAÇU,PARANÁ",GOVERNADOR,REQUIÃO
"RESERVA DO IGUAÇU,PARANÁ",SENADOR,ALVARO DIAS
"RESERVA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"RESERVA,PARANÁ",SENADOR,SERGIO MORO
"RIBEIRÃO CLARO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"RIBEIRÃO CLARO,PARANÁ",SENADOR,PAULO MARTINS
"RIBEIRÃO DO PINHAL,PARANÁ",GOVERNADOR,REQUIÃO
"RIBEIRÃO DO PINHAL,PARANÁ",SENADOR,ALVARO DIAS
"RIO AZUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"RIO AZUL,PARANÁ",SENADOR,PAULO MARTINS
"RIO BOM,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"RIO BOM,PARANÁ",SENADOR,SERGIO MORO
"RIO BONITO DO IGUAÇU,PARANÁ",GOVERNADOR,REQUIÃO
"RIO BONITO DO IGUAÇU,PARANÁ",SENADOR,ALVARO DIAS
"RIO BRANCO DO IVAÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"RIO BRANCO DO IVAÍ,PARANÁ",SENADOR,ALVARO DIAS
"RIO BRANCO DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"RIO BRANCO DO SUL,PARANÁ",SENADOR,ALVARO DIAS
"RIO NEGRO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"RIO NEGRO,PARANÁ",SENADOR,SERGIO MORO
"ROLÂNDIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ROLÂNDIA,PARANÁ",SENADOR,SERGIO MORO
"RONCADOR,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"RONCADOR,PARANÁ",SENADOR,ALVARO DIAS
"RONDON,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"RONDON,PARANÁ",SENADOR,PAULO MARTINS
"ROSÁRIO DO IVAÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"ROSÁRIO DO IVAÍ,PARANÁ",SENADOR,ALVARO DIAS
"SABÁUDIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SABÁUDIA,PARANÁ",SENADOR,PAULO MARTINS
"SALGADO FILHO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SALGADO FILHO,PARANÁ",SENADOR,PAULO MARTINS
"SALTO DO ITARARÉ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SALTO DO ITARARÉ,PARANÁ",SENADOR,ALVARO DIAS
"SALTO DO LONTRA,PARANÁ",GOVERNADOR,REQUIÃO
"SALTO DO LONTRA,PARANÁ",SENADOR,ALVARO DIAS
"SANTA AMÉLIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTA AMÉLIA,PARANÁ",SENADOR,ALVARO DIAS
"SANTA CECÍLIA DO PAVÃO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTA CECÍLIA DO PAVÃO,PARANÁ",SENADOR,ALVARO DIAS
"SANTA CRUZ DE MONTE CASTELO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTA CRUZ DE MONTE CASTELO,PARANÁ",SENADOR,ALVARO DIAS
"SANTA FÉ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTA FÉ,PARANÁ",SENADOR,ALVARO DIAS
"SANTA HELENA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTA HELENA,PARANÁ",SENADOR,PAULO MARTINS
"SANTA INÊS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTA INÊS,PARANÁ",SENADOR,PAULO MARTINS
"SANTA ISABEL DO IVAÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTA ISABEL DO IVAÍ,PARANÁ",SENADOR,PAULO MARTINS
"SANTA IZABEL DO OESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTA IZABEL DO OESTE,PARANÁ",SENADOR,PAULO MARTINS
"SANTA LÚCIA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTA LÚCIA,PARANÁ",SENADOR,PAULO MARTINS
"SANTA MARIA DO OESTE,PARANÁ",GOVERNADOR,REQUIÃO
"SANTA MARIA DO OESTE,PARANÁ",SENADOR,ROSANE FERREIRA
"SANTA MARIANA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTA MARIANA,PARANÁ",SENADOR,ALVARO DIAS
"SANTA MÔNICA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTA MÔNICA,PARANÁ",SENADOR,SERGIO MORO
"SANTA TEREZA DO OESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTA TEREZA DO OESTE,PARANÁ",SENADOR,PAULO MARTINS
"SANTA TEREZINHA DE ITAIPU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTA TEREZINHA DE ITAIPU,PARANÁ",SENADOR,PAULO MARTINS
"SANTANA DO ITARARÉ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTANA DO ITARARÉ,PARANÁ",SENADOR,SERGIO MORO
"SANTO ANTONIO DO CAIUÁ,PARANÁ",GOVERNADOR,REQUIÃO
"SANTO ANTONIO DO CAIUÁ,PARANÁ",SENADOR,ALVARO DIAS
"SANTO ANTÔNIO DA PLATINA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTO ANTÔNIO DA PLATINA,PARANÁ",SENADOR,SERGIO MORO
"SANTO ANTÔNIO DO PARAÍSO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTO ANTÔNIO DO PARAÍSO,PARANÁ",SENADOR,ALVARO DIAS
"SANTO ANTÔNIO DO SUDOESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTO ANTÔNIO DO SUDOESTE,PARANÁ",SENADOR,PAULO MARTINS
"SANTO INÁCIO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SANTO INÁCIO,PARANÁ",SENADOR,ALVARO DIAS
"SAPOPEMA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SAPOPEMA,PARANÁ",SENADOR,ALVARO DIAS
"SARANDI,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SARANDI,PARANÁ",SENADOR,SERGIO MORO
"SAUDADE DO IGUAÇU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SAUDADE DO IGUAÇU,PARANÁ",SENADOR,ALVARO DIAS
"SENGÉS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SENGÉS,PARANÁ",SENADOR,PAULO MARTINS
"SERRANÓPOLIS DO IGUAÇU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SERRANÓPOLIS DO IGUAÇU,PARANÁ",SENADOR,PAULO MARTINS
"SERTANEJA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SERTANEJA,PARANÁ",SENADOR,PAULO MARTINS
"SERTANÓPOLIS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SERTANÓPOLIS,PARANÁ",SENADOR,PAULO MARTINS
"SIQUEIRA CAMPOS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SIQUEIRA CAMPOS,PARANÁ",SENADOR,ALVARO DIAS
"SULINA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SULINA,PARANÁ",SENADOR,ALVARO DIAS
"SÃO CARLOS DO IVAÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO CARLOS DO IVAÍ,PARANÁ",SENADOR,PAULO MARTINS
"SÃO JERÔNIMO DA SERRA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO JERÔNIMO DA SERRA,PARANÁ",SENADOR,ALVARO DIAS
"SÃO JORGE D OESTE,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO JORGE D OESTE,PARANÁ",SENADOR,PAULO MARTINS
"SÃO JORGE DO IVAÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO JORGE DO IVAÍ,PARANÁ",SENADOR,PAULO MARTINS
"SÃO JORGE DO PATROCÍNIO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO JORGE DO PATROCÍNIO,PARANÁ",SENADOR,PAULO MARTINS
"SÃO JOSÉ DA BOA VISTA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO JOSÉ DA BOA VISTA,PARANÁ",SENADOR,PAULO MARTINS
"SÃO JOSÉ DAS PALMEIRAS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO JOSÉ DAS PALMEIRAS,PARANÁ",SENADOR,PAULO MARTINS
"SÃO JOSÉ DOS PINHAIS,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO JOSÉ DOS PINHAIS,PARANÁ",SENADOR,SERGIO MORO
"SÃO JOÃO DO CAIUÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO JOÃO DO CAIUÁ,PARANÁ",SENADOR,ALVARO DIAS
"SÃO JOÃO DO IVAÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO JOÃO DO IVAÍ,PARANÁ",SENADOR,SERGIO MORO
"SÃO JOÃO DO TRIUNFO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO JOÃO DO TRIUNFO,PARANÁ",SENADOR,ALVARO DIAS
"SÃO JOÃO,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO JOÃO,PARANÁ",SENADOR,PAULO MARTINS
"SÃO MANOEL DO PARANÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO MANOEL DO PARANÁ,PARANÁ",SENADOR,ALVARO DIAS
"SÃO MATEUS DO SUL,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO MATEUS DO SUL,PARANÁ",SENADOR,ALVARO DIAS
"SÃO MIGUEL DO IGUAÇU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO MIGUEL DO IGUAÇU,PARANÁ",SENADOR,PAULO MARTINS
"SÃO PEDRO DO IGUAÇU,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO PEDRO DO IGUAÇU,PARANÁ",SENADOR,PAULO MARTINS
"SÃO PEDRO DO IVAÍ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO PEDRO DO IVAÍ,PARANÁ",SENADOR,ALVARO DIAS
"SÃO PEDRO DO PARANÁ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO PEDRO DO PARANÁ,PARANÁ",SENADOR,PAULO MARTINS
"SÃO SEBASTIÃO DA AMOREIRA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO SEBASTIÃO DA AMOREIRA,PARANÁ",SENADOR,ALVARO DIAS
"SÃO TOMÉ,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"SÃO TOMÉ,PARANÁ",SENADOR,PAULO MARTINS
"TAMARANA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
"TAMARANA,PARANÁ",SENADOR,ALINE SLEUTJES
"TAMBOARA,PARANÁ",GOVERNADOR,RATINHO JUNIOR
